style_cd,style_category,style_description,diamond_wt,metal_typ,metal_wt,metal_amt,diamond_qty,diamond_qlty,total_diamond_wt,cstone_qty,cstone_wt,cstone_shape,metal_color,metal_size,gender,ring_type,chain_type,is_set,combined_text,earring_type,stud_subtype,setting,diameter,hoop_subtype,collection,image_url,original_row_count,hash,visual_id,unsure,source
BG200914KY-42,BANGLE,3/8 CTW BANGLE,0.378,14KT,7.5,541.18,84,I I1,0.378,0,0,,Y,7,LADIES,,,FALSE,3/8 CTW BANGLE,,,,,,,https://aneri-image-tagging.s3.amazonaws.com/final_whitebg_renamed/bangles/BG200914KY-42.jpg,8,,,TRUE,SUMIT
BG201014KW-21,BANGLE,BM - 1 1/3 CTW GRADUATING BANGLE EL,1.33,14KT,6.28,362.73,45,I I1,1.33,0,0,,W,7,LADIES,,,FALSE,BM - 1 1/3 CTW GRADUATING BANGLE EL MEMO PRICE $1066.00,,,,,,,https://aneri-jewels-clean-images.s3.amazonaws.com/final_clean/bangles/BG201014KW-21.jpg,7,,bangles/BG201014KW-21.jpg,FALSE,SUMIT
BG201210KY-20-S,BANGLE,1 CTW GRADUATING FLEX BANGLE MS,1,10KT,6.4,260.93,19,II2I3,1,0,0,,Y,7.25,LADIES,,,FALSE,1 CTW GRADUATING FLEX BANGLE MS,,,,,,,https://aneri-jewels-clean-images.s3.amazonaws.com/final_clean/bangles/BG201210KY-20-S.jpg,7,,bangles/BG201210KY-20-S.jpg,FALSE,SUMIT
BG201414KY-56,BANGLE,1 1/3 CTW ALTERNATING FLEX BANGLE,1.305,14KT,6.12,390.28,87,I I1I2,1.305,0,0,,Y,7,LADIES,,,FALSE,1 1/3 CTW ALTERNATING FLEX BANGLE,,,,,,,https://aneri-jewels-clean-images.s3.amazonaws.com/final_clean/bangles/BG201414KY-56.jpg,6,,bangles/BG201414KY-56.jpg,FALSE,SUMIT
BG2015SS-ZA,BANGLE,M/M-1/10 CTW MP SOL BANGLE KT,0.1,SILV,12.16,16.68,1,H I2I3,0.1,0,0,,W,7.25,LADIES,,,FALSE,M/M-1/10 CTW MP SOL BANGLE KT MIN.080 II2,,,,,,,https://aneri-image-tagging.s3.amazonaws.com/final_whitebg_renamed/bangles/BG2015SS-ZA.jpg,2,,,TRUE,SUMIT
BG202610KW-ZA,BANGLE,2 1/2 CTW RD 3 ROWS BANGLE KM,2.4957,10KT,10.3,472.15,141,II3,2.4957,0,0,ROUND,W,7,LADIES,,,FALSE,2 1/2 CTW RD 3 ROWS BANGLE KM,,,,,,,https://aneri-image-tagging.s3.amazonaws.com/final_whitebg_renamed/bangles/BG202610KW-ZA.jpg,2,,,TRUE,SUMIT
BG203210KYSS-HS,BANGLE,1/4 CTTW DIAMOND BANGLE,0.2514,GOSI,13.71,58.67,22,,0.2514,0,0,,T,0,LADIES,,,FALSE,1/4 CTTW DIAMOND BANGLE,,,,,,,https://aneri-image-tagging.s3.amazonaws.com/final_whitebg_renamed/bangles/BG203210KYSS-HS.jpg,8,,,TRUE,SUMIT
BG204414KW-87,BANGLE,2 CTW ALT STN 2 ROWS BANGLE,2,14KT,10.12,812.63,40,GHSI2,2,0,0,,W,7.25,LADIES,,,FALSE,2 CTW ALT STN 2 ROWS BANGLE,,,,,,,https://aneri-jewels-clean-images.s3.amazonaws.com/final_clean/bangles/BG204414KW-87.jpg,2,,bangles/BG204414KW-87.jpg,FALSE,SUMIT
BG204610KYSS-ZA,BANGLE,WW - 1 CTW 2 ROWS W STNS AND ROPE BANGLE,1,GOSI,13.8,54.13,30,HSI,1,0,0,,T,0,LADIES,,ROPE CHAIN,FALSE,WW - 1 CTW 2 ROWS W STNS AND ROPE BANGLE,,,,,,,https://aneri-image-tagging.s3.amazonaws.com/final_whitebg_renamed/bangles/BG204610KYSS-ZA.jpg,2,,,TRUE,SUMIT
BG204710KYSS-ZA,BANGLE,WW - 4 CTW MULTI ALT ROW STN N ROPE BANG,4.05,GOSI,34.7,243.15,67,HSI,4.05,0,0,,T,0,LADIES,,ROPE CHAIN,FALSE,WW - 4 CTW MULTI ALT ROW STN N ROPE BANG,,,,,,,https://aneri-image-tagging.s3.amazonaws.com/final_whitebg_renamed/bangles/BG204710KYSS-ZA.jpg,1,,,TRUE,SUMIT
BG205014KW-MA,BANGLE,3 CTW STRAIGHT LINE CLASSIC BANGLE,3.002,14KT,15.51,1267.7,19,,3.002,0,0,,W,0,LADIES,,,FALSE,3 CTW STRAIGHT LINE CLASSIC BANGLE,,,,,,,https://aneri-image-tagging.s3.amazonaws.com/final_whitebg_renamed/bangles/BG205014KW-MA.jpg,1,,,TRUE,SUMIT
BG205114KW-BB,BANGLE,2 CTW STRAIGHT LINE CLASSIC BANGLE,1.995,14KT,15.38,1122.43,21,I I1,1.995,0,0,,W,7,LADIES,,,FALSE,2 CTW STRAIGHT LINE CLASSIC BANGLE,,,,,,,https://aneri-image-tagging.s3.amazonaws.com/final_whitebg_renamed/bangles/BG205114KW-BB.jpg,1,,,TRUE,SUMIT
BG205210KW-56,BANGLE,1 CTW STRAIGHT LINE CLASSIC BANGLE,1.026,10KT,9.76,570.32,27,,1.026,0,0,,W,0,LADIES,,,FALSE,1 CTW STRAIGHT LINE CLASSIC BANGLE,,,,,,,https://aneri-image-tagging.s3.amazonaws.com/final_whitebg_renamed/bangles/BG205210KW-56.jpg,5,,,TRUE,SUMIT
